medicineName,dosage,uses,details
Lingalabs Plus 12.5 / 2.5 / 1000 mg 30 Extended Release Film Coated,1000 MG,"Diabetes, Blood sugar control",Metformin + Sitagliptin + Pioglitazone
Lingalabs Plus 25 / 5 / 1000 mg 30 Extended Release Film Coated,1000 MG,"Diabetes, Blood sugar control",Metformin + Sitagliptin + Pioglitazone
Lingalabs Plus 25 / 5 / 1000 Mg 30 Tab,1000 MG,,Oral tablet formulation
Lingonerv 30 Sublingual,,Nutritional supplement,Vitamin B complex
Linorose 30 Cap,,,Oral capsule formulation
Linorose 30 Soft Gelatin,,Pharmacological Agent,Evening primrose oil
Liometacen 50 mg 6 Lyophilized,50 MG,Pharmacological Agent,Indomethacin
Liometacen 50 Mg 6+6 Amp 2 Ml#,"50 MG, 2 ML, 2 ML",,Pharmaceutical preparation
Lionel (Alcohol 70%) Spray 60 Ml,"60 ML, 60 ML, 70%",,Spray formulation
Liopath 600 mg 30,600 MG,Pharmacological Agent,Linezolid
Liopath Comb 30,,Pharmacological Agent,Linezolid combination
Lipanthyl 145 Mg 20 Tab,145 MG,,Oral tablet formulation
Lipanthyl 300 Mg 30 Cap,300 MG,,Oral capsule formulation
Lipanthyl Supra 160 Mg 30 Tab,160 MG,,Oral tablet formulation
Lipicole 10 Mg 10 Tab,10 MG,,Oral tablet formulation
Lipicole 20 Mg 10 Tab,20 MG,,Oral tablet formulation
Lipicole 40 mg 10,40 MG,Statin (HMG-CoA Reductase Inhibitor),Simvastatin
Lipicontrol 10/10 Mg 20 Tab,10 MG,,Oral tablet formulation
Lipicontrol 20/10 Mg 20 Tab,10 MG,,Oral tablet formulation
Lipicontrol 80 mg / 10 mg 20 Film Coated,"80 MG, 10 MG, 80 MG + 10 MG",Statin (HMG-CoA Reductase Inhibitor),Simvastatin + Ezetimibe
Lipidalon 1 mg 30,1 MG,"High cholesterol, Cardiovascular prevention",Atorvastatin
Lipidalon 2 mg 30,2 MG,"High cholesterol, Cardiovascular prevention",Atorvastatin
Lipidalon 4 mg 30,4 MG,"High cholesterol, Cardiovascular prevention",Atorvastatin
Lipidnorm 10 mg 10,10 MG,"High cholesterol, Cardiovascular prevention",Atorvastatin
Lipifibrate 105 mg 30,105 MG,Pharmacological Agent,Fenofibrate
Lipifibrate 105 Mg 30 Tab#,105 MG,,Oral tablet formulation
Lipiless 10 Mg 30 Tab,10 MG,,Oral tablet formulation
Lipinorm 10 mg 7,10 MG,"High cholesterol, Cardiovascular prevention",Atorvastatin
Lipinorm 20 mg 7,20 MG,"High cholesterol, Cardiovascular prevention",Atorvastatin
Lipinorm 40 mg 7,40 MG,"High cholesterol, Cardiovascular prevention",Atorvastatin
Lipitor 10 mg 28,10 MG,"High cholesterol, Cardiovascular prevention",Atorvastatin
Lipitor 10 Mg 7 Tab (102139),10 MG,,Oral tablet formulation
Lipitor 20 mg 28,20 MG,"High cholesterol, Cardiovascular prevention",Atorvastatin
Lipitor 20 Mg 7 Tab (157174),20 MG,,Oral tablet formulation
Lipitor 40 mg 14,40 MG,"High cholesterol, Cardiovascular prevention",Atorvastatin
Lipitor 40 Mg 7 Tab ( 203755 ),40 MG,,Oral tablet formulation
Lipitor 80 mg 14,80 MG,"High cholesterol, Cardiovascular prevention",Atorvastatin
Lipitrin 10 Mg / 10 Mg 14 Tab,"10 MG, 10 MG",,Oral tablet formulation
Lipitrin 10 Mg / 20 Mg 14 Tab,"10 MG, 20 MG",,Oral tablet formulation
Lipitrin 10 Mg / 40 Mg 7 Tab,"10 MG, 40 MG",,Oral tablet formulation
Lipocomb 10 / 10 mg 30,10 MG,"High cholesterol, Cardiovascular prevention",Atorvastatin + Ezetimibe
Lipocomb 10 Mg / 10 Mg 30 Cap,"10 MG, 10 MG",,Oral capsule formulation
Lipocomb 20 / 10 mg 30,10 MG,"High cholesterol, Cardiovascular prevention",Atorvastatin + Ezetimibe
Lipocomb 20 Mg / 10 Mg 30 Cap,"20 MG, 10 MG",,Oral capsule formulation
Lipoferric Folic 30 Cap,,,Oral capsule formulation
Lipoferric Folic 30 Hard Gelatin,,Iron Supplement,Iron + Folic acid
Lipoferric Folic 30 Sachets,,Iron Supplement,Iron + Folic acid
Lipomax 10 Mg 10 Tab,10 MG,,Oral tablet formulation
Lipomedizen 300 mg 30,300 MG,Pharmacological Agent,Red yeast rice
Lipomedizen 300 Mg 30 Cap,300 MG,,Oral capsule formulation
Lipona 10 mg 10,10 MG,"High cholesterol, Cardiovascular prevention",Atorvastatin
Lipona 20 mg 10,20 MG,"High cholesterol, Cardiovascular prevention",Atorvastatin
Lipona 40 mg 10,40 MG,"High cholesterol, Cardiovascular prevention",Atorvastatin
Lipopent 600 Mg 20 Tab,600 MG,,Oral tablet formulation
Liposom - B 12 20 Sublingual Tables,,Nutritional supplement,Vitamin B12
Liposom - B Complex Active 30 Cap,,,Oral capsule formulation
Liposom - B Complex.Active 30,,Nutritional supplement,Vitamin B complex
Liposom - B12 1000 Mcg Sublingual 20 Tab,1000 MCG,,Oral tablet formulation
Liposom - C 500 Mg 30 Cap,500 MG,,Oral capsule formulation
Liposom - D3 10.000 Iu 30 Cap,10.000 IU,,Oral capsule formulation
Liposome - C Vit 500 mg,500 MG,Nutritional supplement,Vitamin C
Liposome D3 10000 IU 30,10000 IU,"Bone health, Calcium absorption",Vitamin D3
Liposos Lozenges with Cherry 100 Pieces,,Nutritional supplement,Vitamin C lozenges
Liposos Lozenges with Coffee 100 Pieces,,Nutritional supplement,Vitamin C lozenges
Liposos Lozenges with Cola,,Nutritional supplement,Vitamin C lozenges
Liposos Lozenges with Green Mint,,Nutritional supplement,Vitamin C lozenges
Liposos Lozenges with Green Mint 100 Pieces,,Nutritional supplement,Vitamin C lozenges
Liposos Lozenges with Honey & Lemon,,Nutritional supplement,Vitamin C lozenges
Liposos Lozenges with Honey & Lemon 100 Pieces,,Nutritional supplement,Vitamin C lozenges
Liposos Lozenges with Orange,,Nutritional supplement,Vitamin C lozenges
Liposos Lozenges with Pineapple,,Nutritional supplement,Vitamin C lozenges
Liptitam 500 mg 20,500 MG,"Bacterial infections, Antibiotic",Ciprofloxacin
Liqistein Syrup 100 Ml,"100 ML, 100 ML",,Oral liquid formulation
Liquid Chlorophyll 120 ml,120 ML,Nutritional supplement,Chlorophyll supplement
Liquothyme Plus,,Pharmacological Agent,Thyme syrup
Liquothyme Plus Syrup 120 Ml,"120 ML, 120 ML",,Oral liquid formulation
Lisitens 12.5 mg/20 mg 30,"12.5 MG, 20 MG, 12.5 MG + 20 MG","High blood pressure, Heart failure",Lisinopril + Amlodipine (hydrochlorothiazide + lisinopril + amlodipine)
Listerine Advanced White 250 ml,250 ML,Pharmacological Agent,Mouthwash (benzyl alcohol + eucalyptol + menthol + methyl salicylate + thymol)
Listerine Advanced White 500 ml,500 ML,Pharmacological Agent,Mouthwash (benzyl alcohol + eucalyptol + menthol + methyl salicylate + thymol)
Listerine Cool Mint Antiseptic Mouthwash 250 ml,250 ML,Pharmacological Agent,Mouthwash (benzyl alcohol + eucalyptol + menthol + methyl salicylate + thymol)
Listerine Cool Mint Milder Taste Mouthwash 250 ml,250 ML,Pharmacological Agent,Mouthwash (benzyl alcohol + eucalyptol + menthol + methyl salicylate + thymol)
Listerine Fresh Burst Antiseptic Mouthwash 250 ml,250 ML,Pharmacological Agent,Mouthwash (benzyl alcohol + eucalyptol + menthol + methyl salicylate + thymol)
Listerine Green Tea Mouthwash 250 ml (25% Discount),"250 ML, 25%",Pharmacological Agent,Mouthwash (benzyl alcohol + eucalyptol + menthol + methyl salicylate + thymol)
Listerine Teeth & Gum Defence Mouthwash 250 ml,250 ML,Pharmacological Agent,Mouthwash (benzyl alcohol + eucalyptol + menthol + methyl salicylate + thymol)
Listerine Teeth & Gum Defence Mouthwash 500 ml,500 ML,Pharmacological Agent,Mouthwash (benzyl alcohol + eucalyptol + menthol + methyl salicylate + thymol)
Listerine Total Care Mouthwash 250 ml,250 ML,Pharmacological Agent,Mouthwash
Listerine Total Care Mouthwash 500 ml,500 ML,Pharmacological Agent,Mouthwash
Listerine Total Care Tartar Protect Mouthwash 250 ml,250 ML,Pharmacological Agent,Mouthwash
Listermix Plus Mouth Wash 250 Ml,"250 ML, 250 ML",,Pharmaceutical preparation
Listermix Plus Mouthwash 250 ml,250 ML,Pharmacological Agent,Mouthwash
Lit - Up 50 Gm Whitening Cream,"50 G, 50 G",,Topical cream formulation
Lit - Up Facial Cleanser + Cream (1+1) #,,,Topical cream formulation
Lit - Up Facial Foaming Cleanser 200 Ml,"200 ML, 200 ML",,Pharmaceutical preparation
Liton 30,,Calcium Channel Blocker,Amlodipine
Livabion 6 Amp 2 Ml,"2 ML, 2 ML",,Pharmaceutical preparation
Livagoal 450 mg 20,450 MG,Pharmacological Agent,Silymarin
Livagoal 450 Mg 20 Cap,450 MG,,Oral capsule formulation
Liver Albumin Plus 20,,Nutritional supplement,Liver supplement
Liver Albumin Plus 20 Cap,,,Oral capsule formulation
Liverin 20,,Nutritional supplement,Liver supplement
Liverin 20 Cap,,,Oral capsule formulation
Liviacool 59 Gm Massage Gel,"59 G, 59 G",,Topical gel formulation
Livial 2.5 mg 28,2.5 MG,Pharmacological Agent,Tibolone
Lividemia 2 mg 10,2 MG,Statin (HMG-CoA Reductase Inhibitor),Rosuvastatin
Lividemia 2 mg 30,2 MG,Statin (HMG-CoA Reductase Inhibitor),Rosuvastatin
Lividemia 4 Mg 30 Film Coated,4 MG,Statin (HMG-CoA Reductase Inhibitor),Rosuvastatin
Loadless 10/20 mg 30,20 MG,Pharmacological Agent,Olmesartan + Amlodipine
Loadless 5 mg/ 20 mg 30,"5 MG, 20 MG, 5 MG + 20 MG",Pharmacological Agent,Olmesartan + Amlodipine
Loadless 5/20 Mg 30 Cap,20 MG,,Oral capsule formulation
Locasten 1% Cream 20 gm,"20 G, 1%",Antifungal (Imidazole),Clotrimazole
Lodoz 5 Mg / 6.25 Mg 30 Tab,"5 MG, 6.25 MG",,Oral tablet formulation
Lodoz 5 mg/ 6.25 mg 30,"5 MG, 6.25 MG, 5 MG + 6.25 MG",Pharmacological Agent,Bisoprolol + Hydrochlorothiazide
Logiglobin 30 Hard Gelatin,,Nutritional supplement,Iron supplement
Logimax 30,,Pharmacological Agent,Felodipine + Enalapril
Logimax 5 Mg / 50 Mg 30 Tab,"5 MG, 50 MG",,Oral tablet formulation
Logipentin 20 Hard Gelatin,,"Anticonvulsant, Analgesic",Pregabalin
Logitryps 20 Enteric Coated,,Pharmacological Agent,Trypsin
Logo-Stav Massage Gel 60 gm,60 G,Pharmacological Agent,Massage gel
Logus - Gyn 10 Vaginal Ovules,,Nitroimidazole Antibiotic,Metronidazole
Lohydran 10 Packets,,Pharmacological Agent,Oral rehydration salts
Lokasi Oral,,Pharmacological Agent,Naphazoline
Lokazanda Mouth Spray 60 ml,60 ML,Pharmacological Agent,Mouth spray
Lokelma 10 Gm Powder 30 Sachets,"10 G, 10 G",,Pharmaceutical preparation
Lokelma 5 Gm Powder 30 Sachets,"5 G, 5 G",,Pharmaceutical preparation
Lolawest 3 Gm 6 Sachets 5 Gm,"3 G, 5 G, 3 G, 5 G",,Pharmaceutical preparation
Lolawest I.V 5,,Fluoroquinolone Antibiotic,Levofloxacin
Lomustin 40 Mg 20 Tab,40 MG,,Oral tablet formulation
Longa Vitamin B 12 3,,Nutritional supplement,Vitamin B12
Longacef 1 gm (I.M) Vial,1 G,Pharmacological Agent,Ceftriaxone
Longacef 1 Gm - I M - 1 Vial,"1 G, 1 G",,Parenteral formulation
Longagen 30 Cap,,,Oral capsule formulation
Longagen 30 Hard Gelatin,,Nutritional supplement,Vitamin supplement
Longicef 250 mg/5 ml Powder For Oral Suspension 60 ml,"250 MG, 5 ML, 60 ML",Pharmacological Agent,Cephalexin
Longicef 500 mg 8,500 MG,Pharmacological Agent,Cephalexin
Lonsurf 20 mg / 8.19 mg 20,"20 MG, 8.19 MG, 20 MG + 8.19 MG",Pharmacological Agent,Trifluridine + Tipiracil
Lopranest 2 mg 20 Oro-Dispersible Films,2 MG,Benzodiazepine,Clonazepam
Lopranest 2 Mg 20 Orodispersible Films,2 MG,,Pharmaceutical preparation
Loprecough,,Pharmacological Agent,Dextromethorphan + Guaifenesin
Loprecough Syrup 100 Ml,"100 ML, 100 ML",Antitussive,Oral liquid formulation
Lopro 14 Sachets,,Pharmacological Agent,Probiotic
Lorafast 2.5 Mg / 5 Ml Syrup 100 Ml,"2.5 MG, 5 ML, 100 ML, 5 ML, 100 ML",,Oral liquid formulation
Lorafedrine 20 Extended Release,,Nasal decongestant,Pseudoephedrine
Loranoglobin 30 Film Coated,,Nutritional supplement,Iron supplement
Loranovil 8 mg 20,8 MG,Serotonin 5-HT3 Antagonist,Ondansetron
Loratan 10 mg 10,10 MG,Second-generation Antihistamine,Loratadine
Loraz 50 / 12.5 Mg 14 Tab,12.5 MG,,Oral tablet formulation
Loraz 50 mg/12.5 mg 14,"50 MG, 12.5 MG, 50 MG + 12.5 MG",Pharmacological Agent,Losartan + Hydrochlorothiazide
Loraz Forte 100 / 25 Mg 28 Tab,25 MG,,Oral tablet formulation
Loraz Forte 100 mg/ 25 mg 28,"100 MG, 25 MG, 100 MG + 25 MG",Pharmacological Agent,Losartan + Hydrochlorothiazide
Lorine 10 mg 10,10 MG,Second-generation Antihistamine,Loratadine
Lornicam Rapid 8 mg 10,8 MG,Pharmacological Agent,Lornoxicam
Lornicam Rapid 8 mg 30,8 MG,Pharmacological Agent,Lornoxicam
Lornox 4 mg 10 Film Coated,4 MG,Pharmacological Agent,Lornoxicam
Lornox 8 mg 30 Film Coated,8 MG,Pharmacological Agent,Lornoxicam
Lornoxicam 4 mg 20,4 MG,Pharmacological Agent,Lornoxicam
Lornoxicam 8 mg 1 Vial,8 MG,Pharmacological Agent,Lornoxicam
Lornoxicam 8 Mg 1 Vial 2 Ml,"8 MG, 2 ML, 2 ML",,Parenteral formulation
Lornoxicam 8 Mg 20 Tab,8 MG,,Oral tablet formulation
Lornoxicam 8 mg 30,8 MG,Pharmacological Agent,Lornoxicam
Losar 50 mg 28,50 MG,Pharmacological Agent,Losartan
Losartan 100 mg 14,100 MG,Pharmacological Agent,Losartan
Losartan 50 mg 10,50 MG,Pharmacological Agent,Losartan
Losazide 100 / 25 mg 10 Film Coated,25 MG,Pharmacological Agent,Losartan + Hydrochlorothiazide
Losazide 100 / 25 mg 20 Film Coated,25 MG,Pharmacological Agent,Losartan + Hydrochlorothiazide
Losazide 50 Mg / 12.5 Mg 10 Tab,"50 MG, 12.5 MG",,Oral tablet formulation
Losazide 50 Mg / 12.5 Mg 30 Tab (299270),"50 MG, 12.5 MG",,Oral tablet formulation
Losec 20 Mg 7 Cap,20 MG,,Oral capsule formulation
Lostramix 10 Sachets,,Pharmacological Agent,Probiotic
Lotanin Chocolate Flavored Candy 30 Pieces,,Nutritional supplement,Vitamin C supplement
Loteranol 0.5 % Ophthalmic Ointment 5 gm,"5 G, 0.5%",Bacterial infections,Ophthalmic antibiotic
Loteranol 0.5% Eye Gel 5 Gm,"5 G, 5 G, 0.5%",,Topical gel formulation
Loteranol 0.5% Eye Oint 5 Gm,"5 G, 5 G, 0.5%",,Pharmaceutical preparation
Loteranol 1% Eye Drops 2.8 Ml,"2.8 ML, 2.8 ML, 1%",,Ophthalmic/otic drops
Lovir 400 Mg 10 Tab,400 MG,,Oral tablet formulation
Lovitrod Oral,,"Bone health, Calcium absorption",Vitamin drops
Loxy Joint Collagen 20 Oral,,"Joint health, Skin health",Collagen supplement
Loxy Probiotic 10 Oral Amp X 12 Ml,"12 ML, 12 ML",,Pharmaceutical preparation
Loxybeauty Collagen 20 Oral Amp X 25 Ml,"25 ML, 25 ML",,Pharmaceutical preparation
Loxyjoint Collagen 20 Oral Amp X 25 Ml,"25 ML, 25 ML",,Pharmaceutical preparation
Loxymune 7 Drinkable,,Nutritional supplement,Immune supplement
Loxymune 7 Oral Amp X 25 Ml,"25 ML, 25 ML",,Pharmaceutical preparation
Loxymune Junior Liquid 200 Ml,"200 ML, 200 ML",,Pharmaceutical preparation
Lubicont 24 Mcg 28 Cap,24 MCG,,Oral capsule formulation
Lubicont 24 mg 28,24 MG,Pharmacological Agent,Misoprostol
Lubicont 8 mcg 10,8 MCG,Pharmacological Agent,Misoprostol
Lubicont 8 Mcg 10 Cap,8 MCG,,Oral capsule formulation
Lubristira Eye Drops 15 Ml,"15 ML, 15 ML",,Ophthalmic/otic drops
Lubristira Lubricant Ophthalmic Solution 15 ml,15 ML,Pharmacological Agent,Lubricant eye drops
Lubrivisc 0.1% Eye,0.1%,Pharmacological Agent,Lubricating eye drops
Lubrivisc 0.1% Eye Drops 10 Ml,"10 ML, 10 ML, 0.1%",,Ophthalmic/otic drops
Lucentis (0.23 ml) 10 mg / 1 ml 1 Vial (Fridge),"10 MG, 0.23 ML, 1 ML",Pharmacological Agent,Ranibizumab
Lucidril 250 mg 20,250 MG,Pharmacological Agent,Citicoline
Lucidril 500 Mg 20 Tab,500 MG,,Oral tablet formulation
Luciforte 500 mg 2,500 MG,Nutritional supplement,Vitamin C
Lucocid - R 3% 30 Gm Oint,"30 G, 30 G, 3%",,Pharmaceutical preparation
Lucocid - R 3% Ointment 30 gm,"30 G, 3%",Pharmacological Agent,Fusidic acid
Lucofun - R Lightening 30 Gm Cream,"30 G, 30 G",,Topical cream formulation
Lumicasage Massage Cream 100 gm,100 G,Pharmacological Agent,Massage cream
Lumicasage Massage Cream 60 gm,60 G,Pharmacological Agent,Massage cream
Luna Dorin Anti-Acne Emulsion 30Ml مستحلب,"30 ML, 30 ML",,Pharmaceutical preparation
Luna Pastilles ( Cherry ) 100/115/125 Pcs كريز,,,Pharmaceutical preparation
Luna Pastilles ( Lemon&Honey ) 100/115/125 Pcs ليمون وعسل,,,Pharmaceutical preparation
Luna Pastilles ( Mint ) 100/115/125 Pcs نعناع,,,Pharmaceutical preparation
Luna Pastilles ( Mix ) 300 Pcs,,,Pharmaceutical preparation
Luna Pastilles ( Orange ) 100/115/125 Pcs برتقال,,,Pharmaceutical preparation
Luna Pastilles ( Strawberry ) 100/115/125 Pcs فراولة,,,Pharmaceutical preparation
Luna Pastilles 100 Pcs,,,Pharmaceutical preparation
Luna Streps Mixed Box 24 Strips,,,Pharmaceutical preparation
Lunaprist 24 mcg 20,24 MCG,Pharmacological Agent,Ulipristal
Lungitinib 150 mg 30 Film Coated,150 MG,Pharmacological Agent,Nintedanib
Lungocort 0.25 mg / 2 ml 20,"0.25 MG, 2 ML",Corticosteroid,Hydrocortisone
Lungocort 0.5 mg / 2 ml 20,"0.5 MG, 2 ML",Corticosteroid,Hydrocortisone
Lungocort 1 mg / 2 ml 20,"1 MG, 2 ML",Corticosteroid,Hydrocortisone
Lungotropium 250 mg/ 1 ml 20 Vials,"250 MG, 1 ML",Anticholinergic Bronchodilator,Tiotropium
Lungotropium 500 mg/ 2 ml 20 Vials,"500 MG, 2 ML",Anticholinergic Bronchodilator,Tiotropium
Lupital Massage Cream 50 gm,50 G,Pharmacological Agent,Massage cream
Lusenplug Syryp 125 ml,125 ML,Pharmacological Agent,Cough syrup
Lush Ivy,,Pharmacological Agent,Cough syrup
Lustral 50 mg 10,50 MG,"Depression, Anxiety, OCD",Sertraline
Lustral 50 mg 20,50 MG,"Depression, Anxiety, OCD",Sertraline
Lusty Joint 30,,Nutritional supplement,Joint supplement
Lutein Oral,,Pharmacological Agent,Lutein
Lutiprim 60,,Nutritional supplement,Multivitamin
Lutofolone 2,,"Anemia prevention, Pregnancy support",Folic acid
Lutofolone 2 Amp 1 Ml,"1 ML, 1 ML",,Pharmaceutical preparation
Lutone 3,,"Anemia prevention, Pregnancy support",Folic acid
Luveris 75 I.U 1 Vial,,Pharmacological Agent,Lutropin alfa
Luxoferol 20 Soft Gelatin,,Nutritional supplement,Vitamin E
Lynparza 150 Mg 56 Tab,150 MG,,Oral tablet formulation
Lyse 0.65% Nasal,0.65%,Pharmacological Agent,Xylometazoline
Lyse Nasal Drops 15 Ml,"15 ML, 15 ML",,Ophthalmic/otic drops
Maalox 20 Sachets بالفاكهة الحمراء,,,Pharmaceutical preparation
Maalox 20 Sachets بالليمون,,,Pharmaceutical preparation
Maalox Control 20 Mg 14 Tab,20 MG,,Oral tablet formulation
Maalox Lemon 20 Sachets,,Pharmacological Agent,Antacid
Maalox Plus 200 mg 40,200 MG,Pharmacological Agent,Antacid + Simethicone
Maalox Plus Susp 180 Ml (93108),"180 ML, 180 ML",,Pharmaceutical preparation
Maalox Plus Susp 250 Ml (Lemon),"250 ML, 250 ML",,Pharmaceutical preparation
Maalox Plus Susp 355 Ml (50649),"355 ML, 355 ML",,Pharmaceutical preparation
Maalox Plus Suspension 180 ml,180 ML,Pharmacological Agent,Antacid + Simethicone
Maalox Red Fruit 20 Sachets,,Pharmacological Agent,Antacid
Maalox Susp 250 Ml (Mint),"250 ML, 250 ML",,Pharmaceutical preparation
Macitentan - Evapharma 10 mg 10,10 MG,Pharmacological Agent,Macitentan
Maclavex 1 gm 14 Film Coated,1 G,"Bacterial infections, Antibiotic",Amoxicillin + Clavulanic acid
Macrelax Massage Cream 60 gm,60 G,Pharmacological Agent,Massage cream
Macro Carbamide 10% Cream 50 Gm,"50 G, 50 G, 10%",,Topical cream formulation
Macro Nutri Omega 3 30 Soft Gelatin,,Pharmacological Agent,Omega-3 fatty acids
Macro Nutri Vitamin D3 10000 IU 30 Soft Gelatin,10000 IU,Vitamin D3,Cholecalciferol
Macrofuran 100 Mg 30 Cap,100 MG,,Oral capsule formulation
Macrofuran 50 mg 30,50 MG,Pharmacological Agent,Nitrofurantoin
Macrofuran 50 Mg 30 Cap,50 MG,,Oral capsule formulation
Maddovit B12 Energy 25 Mcg Oral 10 Amp X 7 Ml,"25 MCG, 7 ML, 7 ML",,Pharmaceutical preparation
Maddovit Complete A-Z + Vitalox Complete A-Z 30+30 Tab (1+1 50%) #,50%,,Oral tablet formulation
Maddovit Complete A-Z 30 Tab,,,Oral tablet formulation
Maddovit Complete A-Z 30 Tab (1+1 50%) #,50%,,Oral tablet formulation
Maddovit Eve + Aloe Vera 30,,Nutritional supplement,Multivitamin for women
Maddovit Eve 30 Tab,,,Oral tablet formulation
Maddovit Junior Liquid 200 Ml,"200 ML, 200 ML",,Pharmaceutical preparation
Maddox Calcium 500 Mg + Vit. D3 Eff 20 Tab,500 MG,Mineral Supplement,Calcium - Bone health mineral
Maddox Freemove 30,,Nutritional supplement,Joint supplement
Maddox Multivitamin Eff 20 Tab,,Vitamin Supplement,Oral tablet formulation
Mafo 100 mg / 5 ml,"100 MG, 5 ML","Pain relief, Anti-inflammatory",Ibuprofen
Mafo 400 mg 30,400 MG,"Pain relief, Anti-inflammatory",Ibuprofen
Mag - Sulphate 50 Gm Powder ملح انجليزى,"50 G, 50 G",,Pharmaceutical preparation
Mag - Sulphate Sachets 50 Gm ملح انجليزى,"50 G, 50 G",,Pharmaceutical preparation
Mag Whites 30,,Pharmacological Agent,Teeth whitening
Mag Whites 60,,Pharmacological Agent,Teeth whitening
Magento Hair Lotion 120 Ml,"120 ML, 120 ML",,Pharmaceutical preparation
Magento Hair Lotion 200 Ml,"200 ML, 200 ML",,Pharmaceutical preparation
Magic Look 40 Gm Skin Cream,"40 G, 40 G",,Topical cream formulation
Magicmycin Vaginal Cream 40 gm,40 G,Antifungal (Imidazole),Clotrimazole
Magicpiclone 2 mg 20,2 MG,Pharmacological Agent,Zopiclone
Magitamsulosin 0.4 mg 30 Hard Gelatin,0.4 MG,Alpha-blocker,Tamsulosin
Magmatonin 30 Chewable,,Pharmacological Agent,Melatonin
Magna - Biotic 1000 Mg 10 Tab,1000 MG,,Oral tablet formulation
Magna -Biotic 312.5 mg Powder for Oral Suspension 80 ml,"312.5 MG, 80 ML","Bacterial infections, Antibiotic",Amoxicillin
Magna-Biotic 1 gm 10,1 G,"Bacterial infections, Antibiotic",Amoxicillin
Magnatob 24 Tab,,,Oral tablet formulation
Magnesium + Calcium + D3 20 Sachets,,Mineral Supplement,Calcium - Bone health mineral
Magnesium Citrate 400 Mg 180 Cap,400 MG,,Oral capsule formulation
Magnesium Glycinate 350 Mg 120 Cap,350 MG,,Oral capsule formulation
Magnesium Glycinate 350 Mg 240 Cap,350 MG,,Oral capsule formulation
Magnesium Glycinate 400 Mg 180 Cap,400 MG,,Oral capsule formulation
Magnesium Plus 30,,Magnesium Supplement,Magnesium oxide
Magnesium Sulphate 1 Gm / 10 Ml 5 Amp,"1 G, 1 G, 10 ML, 10 ML",,Pharmaceutical preparation
Magnesium Sulphate 1 gm 1 Ampoule 10 ml,"1 G, 10 ML",Magnesium Supplement,Magnesium sulfate
Magnisol 10% 5 ml 6,"5 ML, 10%",Magnesium Supplement,Magnesium sulfate
Magtein (Magnesium L-Threonate) 90 Cap (Now),,,Oral capsule formulation
Makgy Collagen 10 Sachets,,"Joint health, Skin health",Collagen supplementCollagen supplement
Mal - Wasser Nasal Spray 60 ml,60 ML,Pharmacological Agent,Nasal saline
Malcon Cream 50 gm,50 G,Pharmacological Agent,Topical cream
Maldigar Oral,,"Bone health, Calcium absorption",Vitamin D drops
Malinda Face Cleanser Gel 200 Ml,"200 ML, 200 ML",,Topical gel formulation
Malinda Face Cleanser Gel 250 Ml,"250 ML, 250 ML",,Topical gel formulation
Malinda Moisturizer 120 Gm Cream,"120 G, 120 G",,Topical cream formulation
Mamanor 20,,Nutritional supplement,Iron supplement
Mami Milk 20 Cap,,,Oral capsule formulation
